gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q,loo_direction_stable,conserved
TMEM38A,6,0.053327437617803945,0.37177167575877185,-0.9023420790917686,1.0089969543273765,0.8915433358089354,0.0,0.0,-0.9023420790917686,1.0089969543273765,0.41231363414001915,GSE193021;GSE181512;GSE226411;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
DDIT4L,6,-0.05020617877941774,0.3500162637971968,-0.9499516286737804,0.849539271114945,0.8915446915820988,0.0,0.0,-0.9499516286737804,0.849539271114945,0.3630417451589759,GSE193021;GSE181512;GSE226411;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
MGARP,7,-0.05316794561811452,0.37395148492653857,-0.9681942658381247,0.8618583746018956,0.8915929316008929,0.0,22.68865312227695,-0.9681942658381247,0.8618583746018956,0.3224593872260241,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
PRRT2,7,-0.047257677787029786,0.3326298383999938,-0.8611735714124139,0.7666582158383543,0.8916730083933194,0.0,0.0,-0.8611735714124139,0.7666582158383543,0.32304527815234807,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
CFAP157,4,-0.12084259586183484,0.8163408319534904,-2.718803460364448,2.477118268640779,0.8917091088716662,1.405102695019857,59.46691926888121,-4.70126079160016,4.45957559987649,0.31858707783571366,GSE181512;GSE226411;GSE288678;GSE55867,0.9999922887196132,False,False
SDHC,7,0.04881324904217558,0.34403139348179096,-0.7930012448343402,0.8906277429186913,0.8918143624612338,0.0,0.0,-0.7930012448343402,0.8906277429186913,0.3532904887286782,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
USP38,7,0.04753116543410269,0.3353299963593637,-0.772991776702027,0.8680541075702325,0.8919214771727043,0.0,0.0,-0.772991776702027,0.8680541075702325,0.3372218350556603,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TMEM143,7,0.045176458434561105,0.3189005025160048,-0.7351449605079403,0.8254978773770625,0.8919829643055551,0.0,0.0,-0.7351449605079403,0.8254978773770625,0.30412085422833,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
PLXNA1,7,-0.08410788469944144,0.5938046527437562,-1.5370955267631672,1.3688797573642844,0.8919987239264198,1.0665447459343504,41.84269031401137,-2.999065726067427,2.8308499566685437,0.24024699727520055,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
STEAP4,4,0.058998972758898434,0.3997706975908647,-1.2132498067498394,1.3312477522676363,0.8920333671426363,0.0,0.0,-1.2132498067498394,1.3312477522676363,0.47914595211337346,GSE193021;GSE181512;GSE288678;GSE55867,0.9999922887196132,False,False
NUF2,7,-0.0626959550997615,0.44291096155457893,-1.1464600359296788,1.021068125730156,0.8920653317379281,0.04871652217561641,20.14220229182389,-1.2735753037037651,1.1481833935042423,0.42266346644445735,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
RPS6,7,-0.05335262288022883,0.3771930996517532,-0.9763108885882127,0.8696056428277551,0.8921469410302799,0.0,0.0,-0.9763108885882127,0.8696056428277551,0.40130521308242934,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
ZNF780B,5,-0.05337356176916287,0.3695986609690017,-1.0795439549042063,0.9727968313658806,0.8921608571959802,0.0,0.0,-1.0795439549042063,0.9727968313658806,0.3708475230686487,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
OAS3,5,-0.05772070274015276,0.39993873076752057,-1.1681286341586534,1.052687228678348,0.8922242634847621,0.0,0.0,-1.1681286341586534,1.052687228678348,0.47633344468008537,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
TMA16,7,-0.04481644342412862,0.31721410988044557,-0.8210114082409965,0.7313785213927393,0.8922718393824517,0.0,0.0,-0.8210114082409965,0.7313785213927393,0.28708406089757027,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
GLB1L,7,0.0626791008347797,0.44366378109918764,-1.0229270630606142,1.1482852647301738,0.8922758046421615,0.0,28.995462195376152,-1.0229270630606142,1.1482852647301738,0.4019316201617588,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
CCNF,7,0.056224726218411646,0.3980582479836717,-0.9177887182188414,1.0302381706556647,0.8922974764196755,0.0,16.722947730852656,-0.9177887182188414,1.0302381706556647,0.3852127900322265,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
LETM1,7,0.06450543181966792,0.45711473249317425,-1.0540140244508471,1.1830248880901828,0.8923982375616769,0.0,7.221423141330977,-1.0540140244508471,1.1830248880901828,0.29021639054019494,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SON,7,0.06966337506158744,0.49396454336344375,-1.1390243201398411,1.2783510702630159,0.8924627140741677,0.4597484486686333,25.149341712738188,-1.983045447706211,2.1223721978293857,0.2996209758413602,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
FUT4,6,-0.05208795111881439,0.3663141561980487,-0.993728467177962,0.8895525649403333,0.892478292986307,0.0,0.0,-0.993728467177962,0.8895525649403333,0.394152118880346,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
GPRC5B,5,0.073879246586831,0.5131507075936215,-1.3508555237402635,1.4986140169139255,0.8924848904387704,0.02184826285185452,39.60073773568128,-1.4087838037691789,1.5565422969428409,0.434876363785324,GSE193021;GSE181512;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
PSMC1,7,-0.04741554994946442,0.3365061133878947,-0.87081634678104,0.7759852468821112,0.8925562645916358,0.0,0.0,-0.87081634678104,0.7759852468821112,0.339637859728997,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
FAM171B,7,0.059035200610461476,0.41969219944970204,-0.9679146160561167,1.0859850172770398,0.8927396659473352,0.07502217732141739,26.6938766265914,-1.1672649382196267,1.2853353394405498,0.318834070117928,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TMEM44,7,-0.04830021910171319,0.34354561528634653,-0.8889260565547682,0.7923256183513417,0.892792458035699,0.0,0.0,-0.8889260565547682,0.7923256183513417,0.3538204315985445,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
PREB,6,-0.05495483279915599,0.3877718382680144,-1.0517540766222166,0.9418444110239046,0.8928347805676528,0.0,0.0,-1.0517540766222166,0.9418444110239046,0.4370457184453051,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
MRPS35,7,0.06646497697553386,0.47304130700557656,-1.0910254032175217,1.2239553571685895,0.8928587987856872,0.2892077969157539,31.54382086771449,-1.6860704056464042,1.819000359597472,0.2887344847218179,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SNIP1,5,0.05778420533268432,0.4030160498850584,-1.061167733686836,1.1767361443522044,0.89292352115602,0.0,0.0,-1.061167733686836,1.1767361443522044,0.4393795620208761,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
NDUFS1,7,0.044003303377348375,0.3134034280527441,-0.722867258914374,0.8108738656690707,0.8929352172336094,0.0,0.0,-0.722867258914374,0.8108738656690707,0.29365833550815584,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
EEF1AKMT3,6,0.04747213462099857,0.3354540568329898,-0.8148399705643969,0.909784239806394,0.8929873986139294,0.0,0.0,-0.8148399705643969,0.909784239806394,0.32770775556976245,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
RAB26,6,-0.050408058320656084,0.3563216080687838,-0.9663619116669938,0.8655457950256816,0.8930235463514782,0.0,0.0,-0.9663619116669938,0.8655457950256816,0.3719587778277775,GSE193021;GSE181512;GSE226411;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
CYB5R3,7,0.10545980145869469,0.7519011532363937,-1.734376041285014,1.9452956442024034,0.8930465569109024,1.818787840879893,58.22249172770098,-3.672736265331711,3.8836558682491003,0.21179676888337995,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
DOCK10,5,0.08894484476470763,0.6211252802911371,-1.6355753994142275,1.8134650889436428,0.8930567229254212,0.3486025515770495,41.383490242276785,-2.2903878837879104,2.4682775733173257,0.35805923579449506,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
ABT1,7,0.05019427842634025,0.3580626612445557,-0.8259534908254731,0.9263420476781536,0.8931030019019549,0.0,19.10564447262244,-0.8259534908254731,0.9263420476781536,0.3107433788701835,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
RAD51,6,-0.050806163210116516,0.35941177750797715,-0.9747035499858832,0.87309122356565,0.8931050628155193,0.0,0.0,-0.9747035499858832,0.87309122356565,0.3874957573918949,GSE193021;GSE181512;GSE226411;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
NDUFB3,7,0.055414909042703665,0.39559364110399714,-0.9125678596122605,1.0233976776976679,0.8931806164900368,0.05254645464948,18.132805273122344,-1.0633371217142695,1.1741669397996768,0.3405951860498952,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
METRN,7,-0.05867488420501694,0.41889098949722936,-1.0836642107436343,0.9663144423336004,0.8931869871747776,0.26585259450573895,30.445156098701293,-1.684209562610057,1.5668597942000233,0.2500340123581322,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SCCPDH,6,-0.05054997950671277,0.35790367255595457,-0.9705706590865769,0.8694707000731513,0.8931951920665665,0.001831234208076047,0.0,-0.9771235852439352,0.8760236262305096,0.2722282888022452,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
ESS2,6,-0.06074612865180349,0.4307359719291303,-1.1679881940479793,1.0464959367443725,0.8933530187540503,0.28804227320661685,23.77913547674277,-1.8297393249501364,1.7082470676465296,0.18154064995108796,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TOPORS,7,0.04868819131355025,0.34814785607229815,-0.8031989236604725,0.9005753062875731,0.8933555892095237,0.0,0.0,-0.8031989236604725,0.9005753062875731,0.3585925974850697,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
ARF5,7,0.07296601299189769,0.5217774969141574,-1.2037775278681169,1.3497095538519122,0.8933615950809275,0.5654720556457297,37.969325261719746,-2.166625198064277,2.3125572240480725,0.18940012168070772,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
LAMB3,5,-0.05941920684023591,0.41645932851115847,-1.2156956709990017,1.0968572573185298,0.8934435865837257,0.0,0.0,-1.2156956709990017,1.0968572573185298,0.4838946908059806,GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TSG101,7,-0.04753262621635238,0.34016942907745473,-0.8798972336231977,0.784831981190493,0.8934441103406942,0.0,0.0,-0.8798972336231977,0.784831981190493,0.3381688217726091,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
ETNK1,7,-0.043170470922077965,0.3092094750656323,-0.7997787999464915,0.7134378581023356,0.8935323520237255,0.0,0.0,-0.7997787999464915,0.7134378581023356,0.2846506228720983,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
UQCRC2,7,0.04753643751621598,0.3409274105129699,-0.7866828836481393,0.8817557586805712,0.893670770339046,0.0,0.0,-0.7866828836481393,0.8817557586805712,0.29936705979000305,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
RNF20,7,-0.044204492394812646,0.317098151145316,-0.820115716408448,0.7317067316188228,0.8936931264688914,0.0,0.0,-0.820115716408448,0.7317067316188228,0.289665587038298,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
QSER1,7,-0.05542423772902558,0.3984389594668361,-1.0303692496063008,0.9195207741482496,0.8939199798048939,0.0,0.0,-1.0303692496063008,0.9195207741482496,0.4408480181175664,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TES,7,0.05057034259714564,0.3642984048294992,-0.8408357415333673,0.9419764267276586,0.8941377772527747,0.0,0.0,-0.8408357415333673,0.9419764267276586,0.37274249887075395,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
