source,cluster,endpoint,n,rho,p,BH_q
scRNA,9. Immature B cells,abs_meta_z,517,-0.17769848670392954,4.843700401279658e-05,0.0009687400802559316
spatial,0. MSCs,meta_z,43,-0.025974025974025976,0.8686827253863876,0.8906738884090728
spatial,0. MSCs,abs_meta_z,43,0.04228329809725158,0.78776027153961,0.9583408772237502
spatial,1. Osteoblasts,meta_z,95,0.03817189249720045,0.7134234849724254,0.8906738884090728
spatial,1. Osteoblasts,abs_meta_z,95,-0.005431131019036955,0.9583408772237502,0.9583408772237502
spatial,10. Osteoclasts,meta_z,186,0.05899323508431667,0.42380722586998504,0.8906738884090728
spatial,10. Osteoclasts,abs_meta_z,186,0.024492631323750867,0.7400154277138125,0.9583408772237502
spatial,2. SECs,meta_z,44,-0.10429880197322057,0.5004611851956231,0.8906738884090728
spatial,2. SECs,abs_meta_z,44,-0.09880197322057785,0.5234248177699494,0.9583408772237502
spatial,3. AECs,meta_z,24,0.19217391304347822,0.3683204887556275,0.8906738884090728
spatial,3. AECs,abs_meta_z,24,0.3834782608695652,0.06434139809221924,0.7077553790144117
spatial,4. Chondrocytes and fibroblasts,meta_z,116,0.012901241686848882,0.8906738884090728,0.8906738884090728
spatial,4. Chondrocytes and fibroblasts,abs_meta_z,116,0.011448122092799754,0.9029237766735739,0.9583408772237502
spatial,5. SECs,meta_z,98,-0.06766380404082907,0.5079696973119328,0.8906738884090728
spatial,5. SECs,abs_meta_z,98,-0.042403840636535774,0.6784514537255526,0.9583408772237502
spatial,6. VSMCs,meta_z,77,-0.13901887586098113,0.22789535950051407,0.8906738884090728
spatial,6. VSMCs,abs_meta_z,77,-0.06553972343446028,0.5711820596128913,0.9583408772237502
spatial,7. Adipocytes,meta_z,47,0.104995374653099,0.48244579864159703,0.8906738884090728
spatial,7. Adipocytes,abs_meta_z,47,0.11598057354301573,0.43754986564546566,0.9583408772237502
spatial,8. AECs,meta_z,69,0.03854585312385824,0.7531767336881197,0.8906738884090728
spatial,8. AECs,abs_meta_z,69,0.021300694190719772,0.8620823028553956,0.9583408772237502
spatial,9. Osteo-MSCs,meta_z,65,-0.060533216783216784,0.6319353493735717,0.8906738884090728
