gene,k,pooled_effect,se_hk,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
SSSCA1,3,-0.6151236601596661,0.8349982666052421,0.5380127944881273,0.9813070798271258,49.52029461623365,-6.1895572213892756,4.959309901069943,0.39600720913971393,GSE193021;GSE226411;GSE288678,0.9999227012193477
DYNC1I2,5,-0.38221534710351046,0.568202932431,0.5380153608313418,0.4490115822357805,23.89002131546551,-2.821486558629068,2.0570558644220474,0.40169178942252487,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CDON,3,0.44203474500437046,0.6001599503840057,0.5380859731281744,0.01816300648511989,32.282915692648245,-2.2045513005611204,3.0886207905698617,0.7006521673707351,GSE193021;GSE55867;GSE255574,0.9999227012193477
SMU1,5,-0.2562612611190703,0.38107873609732656,0.5381365682678092,0.00081260661735127,0.0,-1.3172615481791188,0.804739025940978,0.41173922009182534,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
S100A10,5,-0.48610787209057343,0.7229736791523678,0.5381881664012217,1.3949536504222184,55.82473357041533,-4.330902539477729,3.358686795296582,0.28820085074107515,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
AGAP9,4,-0.3264310280958657,0.47114430058376966,0.5382233529565547,0.0,0.0,-1.8258224667441603,1.1729604105524287,0.30724248227251916,GSE193021;GSE226411;GSE288678;GSE255574,0.9999227012193477
NOP14-AS1,3,0.48974997778172596,0.6652469437322042,0.5382515011258513,0.0,0.0,-2.3725766006251288,3.352076556188581,0.42621878326176665,GSE193021;GSE288678;GSE255574,0.9999227012193477
IDUA,5,-0.26213197807931476,0.38995906944304554,0.5382851676885054,0.0,0.0,-1.344831927661945,0.8205679715033154,0.4189888875105814,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
DUSP8,4,-0.7495709709698356,1.0826871071291775,0.5385088992130503,2.6154359418510893,66.99653623491028,-6.9432094395648605,5.4440674976251895,0.32522582381842136,GSE193021;GSE288678;GSE55867;GSE255574,0.9999227012193477
NQO1,5,-0.30549524445181386,0.45482533911894707,0.5385881872795689,0.0,0.0,-1.568292830968541,0.9573023420649133,0.6139397091634157,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
GALNT7,5,0.38862384670918765,0.5786049208607097,0.5385992681660928,0.43018400849628385,15.023735849915246,-2.0397225048179126,2.816970198236288,0.4296993528258196,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
BLCAP,4,-0.27356522586189286,0.39524067131285734,0.5386051909212779,0.0,0.0,-1.531397439979348,0.9842669882555624,0.46861493276636806,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CNN2,5,-0.5348684978667879,0.7964498127366363,0.5386514063430579,1.6010476371757514,49.420884661452554,-4.6859835074437655,3.616246511710189,0.3228286414864138,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MRPS34,5,-0.24822874500911837,0.36966745210634433,0.5386938014710256,0.0,0.0,-1.2745901329607177,0.778132642942481,0.40925092538283575,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
EDC3,5,-0.24701950347320467,0.3678783935781268,0.5387061377125304,0.0,0.0,-1.2684136686312222,0.7743746616848127,0.3136758372633023,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MAGED2,5,-0.6685716913604541,0.9957198987750705,0.5387204902282249,2.276495637180872,50.928401810334734,-5.6876854858012456,4.350542103080337,0.35020178755733977,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MYO5A,5,0.51149533518048,0.7618475349276753,0.5387535053450513,1.6021879568453539,58.81655553090742,-3.5903202335592175,4.613310903920177,0.24969161365791054,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
UQCRHL,3,-0.3964773969523033,0.5393132492767382,0.538765158294841,0.0,0.0,-2.7169550211429128,1.924000227238306,0.429441442999635,GSE193021;GSE226411;GSE288678,0.9999227012193477
CCDC39,3,0.32473842274321374,0.4420051804073498,0.5389917371516725,0.0,0.0,-1.5770563732998732,2.226533218786301,0.584589304102048,GSE193021;GSE226411;GSE55867,0.9999227012193477
ZFP36L1,5,0.2777454490473522,0.41395745728189004,0.5390041526221027,0.0,0.0,-0.8715847069830761,1.4270756050777806,0.4699852054791953,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
