gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
CANT1,7,-0.011540808145433686,0.35794413804220543,-0.8873985615687805,0.8643169452779131,0.9753249046180126,0.0,27.861339098410493,-0.8873985615687805,0.8643169452779131,0.25930797262569205,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
LY96,5,-0.020828575437174136,0.6332454672648585,-1.7789998534133802,1.7373427025390318,0.9753367177849795,1.0748218730526702,58.70292084925725,-3.3937485424252993,3.352091391550951,0.251277753249043,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
PJA1,7,0.014146096379002162,0.43961233150800355,-1.061546527497407,1.0898387202554112,0.9753733712041279,0.3694488843818222,41.95995471156109,-1.8213768804431634,1.8496690732011676,0.2024650007741966,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
CYP20A1,7,0.0104886532603001,0.32667353287143175,-0.7888526857782051,0.8098299922988054,0.9754277806788423,0.08395996499021129,13.222874375932408,-1.0579899803986745,1.0789672869192748,0.2155741929923962,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ACSL4,7,0.02196133347468283,0.685466843223472,-1.6553156087757679,1.6992382757251336,0.9754805213652487,2.0105405165667656,66.0485565218208,-3.831754173463196,3.875676840412561,0.17641903294502986,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
PEPD,5,-0.02147185418714228,0.6572367662886087,-1.8462536569051762,1.8033099485308914,0.9755030277843902,1.2185440426735743,60.41285107001835,-3.588425038754527,3.5454813303802424,0.25335476721577116,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
HPSE,6,0.010094939691632927,0.3174443948771464,-0.8059218556041211,0.8261117349873869,0.9758613992096612,0.0,0.0,-0.8059218556041211,0.8261117349873869,0.2708694695292331,GSE193021;GSE181512;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
EIF5,5,0.021654213215716128,0.6748490930276528,-1.852027247868081,1.895335674299513,0.9759395435577654,0.9613234892114768,58.01000066151102,-3.283067568507695,3.326375994939127,0.261490630663705,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
CDPF1,7,0.01182668524832546,0.37631081819246137,-0.9089727155008719,0.9326260859975227,0.9759475908093582,0.0842263163403179,29.575609734120995,-1.1510001706589739,1.174653541155625,0.20633730388772387,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
STAU2,5,0.010911908234287402,0.3406263016807286,-0.9348183197687984,0.9566421362373733,0.9759790072060406,0.0,0.0,-0.9348183197687984,0.9566421362373733,0.31335042624289533,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
TMEM234,7,-0.009064477797803673,0.28934529951455223,-0.7170669202530551,0.6989379646574476,0.9760244190915492,0.0,0.0,-0.7170669202530551,0.6989379646574476,0.24031020745254877,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
RASSF10,4,-0.01802883521786337,0.5548163320117908,-1.783702021139846,1.747644350704119,0.9761182561434567,0.47728031587011494,42.735973593895224,-2.837865690159992,2.801808019724265,0.33469454349117195,GSE193021;GSE226411;GSE55867;GSE255574,0.9998522961638839
WFDC2,4,0.018031530392418962,0.5550770938366273,-1.7484715160355735,1.7845345768204115,0.9761259031601768,0.2557650042123177,40.893851064473594,-2.3717198986200074,2.4077829594048454,0.38209343110697785,GSE193021;GSE181512;GSE55867;GSE310514,0.9998522961638839
BEX3,6,-0.014867395925844103,0.4749036944545929,-1.235646206567399,1.2059114147157108,0.9762366264190131,0.3857952301687192,43.73713812745123,-2.0247414525873806,1.9950066607356922,0.2454658606197122,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
GSK3B,7,0.013374548941357471,0.4315104913414448,-1.0424935862154168,1.0692426840981317,0.9762790369629736,0.4517588642539306,40.16019402286782,-1.9410328872297313,1.9677819851124463,0.17872380691957096,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ZBTB44,7,-0.0111430347622696,0.35999539513026985,-0.8920200334641464,0.8697339639396071,0.9763107512480054,0.1346399288523645,25.997611266522387,-1.2689523930903128,1.2466663235657736,0.2303892272910863,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ERI1,7,0.01243497501217147,0.40186515851419813,-0.9708936439184754,0.9957635939428184,0.9763184914852158,0.40038055219066476,37.654942160855654,-1.821730973145829,1.846600923170172,0.1958815685439636,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
